a	b	n	score
purple	red	5	0.743231
blue	purple	2	0.093710
red	purple	2	0.802103
purple	red	5	0.389055
red	purple	2	0.880457
orange	red	2	0.540349
purple	purple	1	0.634451
orange	purple	5	0.257223
orange	purple	5	0.693499
red	red	4	0.981355
blue	purple	5	0.157052
purple	purple	1	0.441784
red	purple	1	0.124912
orange	blue	1	0.921944
blue	purple	4	0.490909
purple	red	5	0.454779
green	purple	4	0.198278
orange	blue	5	0.705700
red	red	3	0.940705
purple	red	5	0.072936
orange	blue	3	0.389463
orange	purple	2	0.664985
blue	purple	1	0.371813
red	purple	4	0.984571
green	purple	5	0.203577
green	purple	3	0.900873
purple	purple	0	0.965677
blue	purple	2	0.208785
purple	purple	1	0.455077
red	purple	4	0.477187
blue	red	4	0.007487
