color,shape,flag,i,u,v,w,x
yellow,triangle,1,56,0.6321695890307647,0.9887207810889004,0.4364983936735774,5.7981881667050565
red,square,1,80,0.21966833570651523,0.001257332190235938,0.7927778364718627,2.944117399716207
red,circle,1,84,0.20901671281497636,0.29005231936593445,0.13810280912907674,5.065034003400998
red,square,0,243,0.9562743938458542,0.7467203085342884,0.7755423050923582,7.117831369597269
purple,triangle,0,257,0.4355354501763202,0.8591292672156728,0.8122903963006748,5.753094629505863
red,square,0,322,0.2015510269821953,0.9531098083420033,0.7719912015786777,5.612050466474166
purple,triangle,0,328,0.6842806710360729,0.5823723856331258,0.8014053396013747,5.805148213865135
yellow,circle,1,370,0.6033649768090676,0.42370791211283076,0.639785141788745,7.006414410739997
yellow,circle,1,440,0.2856563669907619,0.8335161523929382,0.6350579406858395,6.350035616385983
purple,square,0,458,0.25992639068499135,0.824321938346312,0.7237347131411271,6.854221024776646
red,circle,0,540,0.024802572314538085,-0.018793703176088375,0.1671176659369718,5.055666375592517
yellow,square,1,546,0.9974736736046079,0.6760028458359627,0.41864350936782024,3.901025801203988
red,circle,0,595,0.34117602470323594,0.38062693570973866,0.17327129470515584,3.29791352816602
red,triangle,0,620,0.4278178693661939,0.3960696006932547,0.4669075799722325,6.075593868973896
green,triangle,1,632,0.1513010528347546,0.40346767294704544,0.051213231883952326,5.955109300797182
red,circle,0,664,0.00415869281443515,0.07120668907359722,0.18024088018973658,6.081369507941527
red,square,1,680,0.7115806575648764,0.6358066944310004,0.733362749189488,2.0929047447188442
purple,triangle,0,703,0.7170724772864769,0.971982521419424,0.7877975577532164,4.099359540509919
purple,triangle,0,759,0.032614487569017414,0.7346633365041219,0.7812143304483805,2.6831992610568047
green,square,0,765,0.6684429446914862,0.016056003736548696,0.4656148241291592,5.434588759225423
yellow,square,1,790,0.41527900739142165,0.7118027080775757,0.4200799665161291,5.33279067554884
red,triangle,1,885,0.46223900862848977,0.3756372162560322,0.46677374441501546,3.868738145214838
red,square,1,909,0.7499237717390023,0.3011685472073139,0.7067889134216544,5.658717346090616
red,square,0,1036,0.8418732590895626,0.6829961308284442,0.6777973811978997,6.429841924437199
blue,circle,0,1075,0.7803586969333292,0.33146680638888126,0.04289047852629113,5.725365736377487
blue,triangle,0,1105,0.441773289968473,0.44597731903759075,0.6329360666849821,4.3064608776550894
yellow,triangle,1,1151,0.662341253298938,0.1395610797840987,0.4253162003550002,7.4205012813680336
purple,square,0,1238,0.7157068193458154,0.30556667456142306,0.7082214193677417,6.27840284372013
blue,circle,1,1410,0.4107894174130632,0.5237663206650146,0.04318568730902819,3.7814299131517406
green,triangle,0,1420,0.09184444247342893,0.4977908548241379,0.07847551915092178,5.171903191298225
purple,circle,0,1573,0.9970979544448977,0.19371928997895382,0.4669332097132727,6.253743240180984
red,circle,0,1590,0.3806668694886812,0.4639086417841095,0.24155540443368562,5.233591001880515
blue,square,0,1604,0.6567438551446514,0.6872579918742652,0.3126631069620033,4.783384797137046
blue,circle,1,1620,0.6831389508634012,0.5164266496909541,0.04279502510289964,6.430767892082264
red,circle,0,1712,0.022581234669267536,0.07297945199030628,0.24820497536870453,4.8817903893282315
red,circle,0,1716,0.19109789177540426,0.09277368510132841,0.25217038732339636,6.3438770884826345
green,square,0,1782,0.7674272008085286,0.341578843118008,0.4570224877870851,4.830320062215299
yellow,triangle,1,1800,0.04059511540040217,0.12175098644715998,0.4252690428843536,6.189923389321772
blue,square,1,1811,0.7956525257065691,0.6523132120850892,0.3200330380984027,4.072821305500013
blue,triangle,0,1985,0.919100549631871,0.8344721671140174,0.6244367001946488,2.49013750392186
yellow,circle,1,1989,0.39319598247811227,0.7827012405227943,0.6366920960401155,4.529206987025983
red,square,1,1995,0.5978201290608502,0.47272211894407123,0.6491217487672196,4.940940908354111
yellow,triangle,1,2089,0.5968783890703766,0.9180606623519213,0.43245864839969506,6.365943427549951
green,circle,1,2102,0.08351408650249226,0.54577336738499,0.5186728819298164,5.084667446471147
red,square,0,2134,0.18797364854358312,0.15618889495894983,0.6473124542782809,4.377289005882239
purple,triangle,1,2176,0.5533395314187117,0.6819531437186439,0.7660419032272928,6.318450342598268
purple,square,0,2213,0.5949936958119856,0.44333412244235537,0.699091705650557,4.0899656611487645
yellow,triangle,0,2255,0.42804650823641566,0.25454266416065197,0.4346507346665569,4.277203829116134
red,square,0,2275,0.511897747652211,0.9985224224854384,0.6362898913523033,5.154825231103973
yellow,circle,1,2320,0.36858008772332884,0.5075644639683616,0.6316304187169625,7.040221898203598
red,square,0,2350,0.13286513113313736,0.9084234595597834,0.6279253576837711,5.002168139084499
red,triangle,0,2380,0.7869818074820932,0.7917840934406875,0.4904465717482654,7.621374465824963
red,square,1,2428,0.0985075545140347,0.03323413200681258,0.6210493583280738,5.397832324814885
purple,triangle,0,2662,0.23339001715233743,0.18098824995902285,0.7538550076607498,4.482844983044244
red,triangle,1,2690,0.08342205930118507,0.5551231727340961,0.4969066537203422,6.400461402177794
red,circle,1,2718,0.27956692255780735,0.317716295298317,0.3094102421392519,4.797498617657461
yellow,triangle,1,2779,0.4324861814762554,0.6516173501148627,0.4391759668010706,4.839236316217861
red,triangle,0,2877,0.3822743205645871,0.13243663787308357,0.4885011925291688,3.1878336744268148
yellow,triangle,1,2883,0.38274055836949383,0.06907845482417962,0.4464344215456894,4.530719037043683
orange,triangle,0,2935,0.5175826237797857,0.08989091493635304,0.9011709461770973,4.265854207755811
green,square,0,2990,0.8257400998639863,0.9139935425693207,0.47634534610928053,4.535961637121465
purple,triangle,0,2997,0.5777696441179225,0.1592641459041092,0.7360769450811888,4.935473950297778
